Vendor,Product,Version,Vulnerabilities Fixed
.TUBE gTLD,.TUBE Video Curator,Unknown,CVE-2025-23799
0xPolygonZero,plonky2,= 1.0.0,CVE-2025-24802
1000 Projects,Attendance Tracking Management System,1.0,CVE-2025-0536
1000 Projects,Campaign Management System Platform for Women,1.0,"CVE-2025-0533, CVE-2025-0534"
1000 Projects,Employee Task Management System,1.0,"CVE-2025-0846, CVE-2025-0847"
1902756969,reggie,1.0,"CVE-2025-0401, CVE-2025-0402, CVE-2025-0403"
4wpbari,Qr Code and Barcode Scanner Reader,Unknown,CVE-2025-22819
5centsCDN,5centsCDN,Unknown,CVE-2025-22326
7-Zip,7-Zip,24.08 (x64),CVE-2025-0411
AGILELOGIX,Free Google Maps,Unknown,CVE-2025-22329
AIpost,AI WP Writer,Unknown,CVE-2025-22297
AWS,AWS Sign-in IAM Login Flow,Unknown,CVE-2025-0693
AWS,DeepJavaLibrary,0.1.0,CVE-2025-0851
AWcode & KingfisherFox,Salvador – AI Image Generator,Unknown,CVE-2025-23954
"AWcode, PDSonline",Unique UX,Unknown,CVE-2025-23625
AazzTech,WP Cookie,Unknown,CVE-2025-22578
Abinav Thakuri,WordPress Signature,Unknown,CVE-2025-22704
Acronis,Acronis Cyber Protect Cloud Agent,unspecified,"CVE-2025-24827, CVE-2025-24828, CVE-2025-24829, CVE-2025-24830, CVE-2025-24831"
Acronis,Acronis Snap Deploy,unspecified,CVE-2025-24826
AddFunc,AddFunc Mobile Detect,Unknown,CVE-2025-22550
AddonMaster,Post Grid Master,Unknown,CVE-2025-24733
Admiral,Ad Blocking Detector,Unknown,CVE-2025-22732
Adobe,Animate,0,CVE-2025-21135
Adobe,Illustrator on iPad,0,"CVE-2025-21133, CVE-2025-21134"
Adobe,Photoshop Desktop,0,"CVE-2025-21122, CVE-2025-21127"
Adobe,Substance3D - Designer,0,"CVE-2025-21136, CVE-2025-21137, CVE-2025-21138, CVE-2025-21139"
Adobe,Substance3D - Stager,0,"CVE-2025-21128, CVE-2025-21129, CVE-2025-21130, CVE-2025-21131, CVE-2025-21132"
Adrian Moreno,WP Lyrics,Unknown,CVE-2025-23533
Advantive,VeraCore,0,CVE-2025-25181
Akamai,Enterprise Application Access,0,CVE-2025-24527
AlTi5,AlT Report,Unknown,CVE-2025-23432
AlaFalaki,a Gateway for Pasargad Bank on WooCommerce,Unknown,CVE-2025-23966
Albdesign,Simple Project Manager,Unknown,CVE-2025-23497
Albertolabs.com,Easy EU Cookie law,Unknown,CVE-2025-23434
Aleapp,WP Cookies Alert,Unknown,CVE-2025-23821
Aleksandar Arsovski,Google Org Chart,Unknown,CVE-2025-23928
Aleksandar Urošević,Easy YouTube Gallery,Unknown,CVE-2025-24721
Alessandro Benoit,WpDevTool,Unknown,CVE-2025-23624
Alessandro Piconi - SabLab,Internal Link Builder,Unknown,CVE-2025-23989
Alessandro Staniscia,Simple Vertical Timeline,Unknown,CVE-2025-23856
Alex Furr and Simon Ward,Progress Tracker,Unknown,CVE-2025-23892
Alex Polonski,Smart Countdown FX,Unknown,CVE-2025-25117
Alex Thorpe,Easy Shortcode Buttons,Unknown,CVE-2025-23825
Alex Volkov,Chatter,Unknown,CVE-2025-23760
Alex Volkov,Woo Tuner,Unknown,CVE-2025-23761
Alexander Weleczka,FontAwesome.io ShortCodes,Unknown,CVE-2025-23824
Alexandros Georgiou,Bitcoin and Altcoin Wallets,Unknown,CVE-2025-24544
Alexey Trofimov,Captchelfie – Captcha by Selfie,Unknown,CVE-2025-23620
Alexey Yuzhakov,wp-pano,Unknown,CVE-2025-22780
AlgolPlus,Advanced Dynamic Pricing for WooCommerce,Unknown,CVE-2025-24632
Ali Ali,Alpha Price Table For Elementor,Unknown,CVE-2025-22500
AlphaBPO,Easy Code Snippets,Unknown,CVE-2025-23780
Amazon,WorkSpaces Client,3.0.0,CVE-2025-0501
Amazon,WorkSpaces Client,5.0.0,CVE-2025-0500
Amento Tech Pvt ltd,WPGuppy,Unknown,CVE-2025-24643
Amitythemes.com,Breaking News Ticker,Unknown,CVE-2025-25094
Andon Ivanov,OZ Canonical,Unknown,CVE-2025-22324
Andrea Brandi,Twitter Shortcode,Unknown,CVE-2025-23618
"Andrea Dotta, Jacopo Campani, di xkoll.com",Social2Blog,Unknown,CVE-2025-23461
Andrew Norcross,Google Earth Embed,Unknown,CVE-2025-25078
Andy Chapman,ECT Add to Cart Button,Unknown,CVE-2025-23471
Animati,PACS,1.24.12.09.03,CVE-2025-1085
Anshi Solutions,Category D3 Tree,Unknown,CVE-2025-23873
Anshul Sojatia,Scan External Links,Unknown,CVE-2025-22583
Apache Software Foundation,Apache Ambari,0,CVE-2025-23195
Apache Software Foundation,Apache Ambari,8,CVE-2025-23196
Apache Software Foundation,Apache CXF,0,CVE-2025-23184
Apache Software Foundation,Apache Cassandra,3.0.0,CVE-2025-23015
Apache Software Foundation,Apache Cassandra,4.0.0,CVE-2025-24860
Apache Software Foundation,Apache CloudStack,4.16.0,CVE-2025-22828
Apache Software Foundation,Apache Cocoon,0,CVE-2025-24783
Apache Software Foundation,Apache Kvrocks,0,CVE-2025-25069
Apache Software Foundation,Apache Solr,0,CVE-2025-24814
AppHouseKitchen,AlDente Charge Limiter,1.0,CVE-2025-1078
Apple,iOS and iPadOS,unspecified,CVE-2025-24141
Apple,iPadOS,unspecified,CVE-2025-24104
Apple,macOS,unspecified,"CVE-2025-24086, CVE-2025-24087, CVE-2025-24092, CVE-2025-24093, CVE-2025-24094, CVE-2025-24096, CVE-2025-24099, CVE-2025-24100, CVE-2025-24101, CVE-2025-24102, CVE-2025-24103, CVE-2025-24106, CVE-2025-24108, CVE-2025-24109, CVE-2025-24112, CVE-2025-24114, CVE-2025-24115, CVE-2025-24116, CVE-2025-24118, CVE-2025-24120, CVE-2025-24121, CVE-2025-24122, CVE-2025-24123, CVE-2025-24124, CVE-2025-24127, CVE-2025-24128, CVE-2025-24130, CVE-2025-24134, CVE-2025-24135, CVE-2025-24136, CVE-2025-24137, CVE-2025-24138, CVE-2025-24139, CVE-2025-24140, CVE-2025-24145, CVE-2025-24146, CVE-2025-24149, CVE-2025-24150, CVE-2025-24151, CVE-2025-24152, CVE-2025-24153, CVE-2025-24154, CVE-2025-24156, CVE-2025-24159, CVE-2025-24160, CVE-2025-24161, CVE-2025-24163, CVE-2025-24169, CVE-2025-24174, CVE-2025-24176, CVE-2025-24177"
Apple,tvOS,unspecified,CVE-2025-24107
Apple,visionOS,unspecified,"CVE-2025-24085, CVE-2025-24113, CVE-2025-24117, CVE-2025-24126, CVE-2025-24129, CVE-2025-24131, CVE-2025-24143, CVE-2025-24158, CVE-2025-24162"
ApplicantPro,ApplicantPro,Unknown,CVE-2025-23920
Arefly,WP Header Notification,Unknown,CVE-2025-22579
Aridius,XYZ,20240927,CVE-2025-0841
Arm Ltd,Valhall GPU Kernel Driver,r48p0,CVE-2025-0015
Arshid,WooCommerce Quick View,Unknown,CVE-2025-24705
Artem Anikeev,Hack me if you can,Unknown,CVE-2025-23713
Artem Anikeev,Slider for Writers,Unknown,CVE-2025-23692
ArtkanMedia,Book a Place,Unknown,CVE-2025-23690
Atarim,Atarim,Unknown,CVE-2025-24570
Atheos,Atheos,< 600,CVE-2025-22152
August Infotech,AI Responsive Gallery Album,Unknown,CVE-2025-23785
AutomationDirect,C-more EA9 HMI EA9-T6CL,0,CVE-2025-0960
Awesome TOGI,Awesome Event Booking,Unknown,CVE-2025-24560
AwoThemes,Social Media Engine,Unknown,CVE-2025-22749
Axiomatic,Bento4,1.0,"CVE-2025-0751, CVE-2025-0753"
Axiomatic,Bento4,1.6.0-641,CVE-2025-0870
AyeCode Ltd,Ketchup Shortcodes,Unknown,CVE-2025-24673
"Balcom-Vetillo Design, Inc.",BVD Easy Gallery Manager,Unknown,CVE-2025-22353
BannerSky.com,BSK Forms Blacklist,Unknown,CVE-2025-22347
BannerSky.com,BSK Forms Validation,Unknown,CVE-2025-24545
Bas Matthee,LSD Google Maps Embedder,Unknown,CVE-2025-23871
BdThemes,Ultimate Store Kit Elementor Addons,Unknown,CVE-2025-24584
Beautiful Templates,ST Gallery WP,Unknown,CVE-2025-22543
Belledonne Communications,Linphone-Desktop,5.2.6,CVE-2025-0430
Ben Huson,List Pages at Depth,Unknown,CVE-2025-22517
Benjamin Guy,Style Admin,Unknown,CVE-2025-23801
Benjamin Piwowarski,PAPERCITE,Unknown,CVE-2025-23849
Benjamin Santalucia (ben@woow-fr.com),WPMU Prefill Post,Unknown,CVE-2025-22507
Berkman Center for Internet & Society,Amber,Unknown,CVE-2025-22754
BestWebSoft,Google Captcha,Unknown,CVE-2025-24628
Beta10,Beta10,all versions,CVE-2025-0637
Bharti Airtel,Xstream Fiber,20250123,CVE-2025-1081
Bhaskar Dhote,Post Carousel Slider,Unknown,CVE-2025-23977
BigAntSoft,BigAnt Server,0,CVE-2025-0364
Bilal TAS,Responsivity,Unknown,CVE-2025-23548
Biltorvet A/S,Biltorvet Dealer Tools,Unknown,CVE-2025-22580
Bishawjit Das,wp custom countdown,Unknown,CVE-2025-22822
Björn Weinbrenner,Navigation Du Lapin Blanc,Unknown,CVE-2025-22745
Blokhaus,Minterpress,Unknown,CVE-2025-23529
Blrt,Blrt WP Embed,Unknown,CVE-2025-23507
Blu Logistics Pte. Ltd.,blu Logistics,Unknown,CVE-2025-23591
BnB Select Ltd,Bookalet,Unknown,CVE-2025-23899
Bold,Bold pagos en linea,Unknown,CVE-2025-22793
BoldGrid,Post and Page Builder by BoldGrid – Visual Drag and Drop Editor,Unknown,CVE-2025-22759
Booking & Appointment - Repute Infosystems,BookingPress,Unknown,CVE-2025-24732
Brainstorm Force,Starter Templates,Unknown,CVE-2025-24568
Brainvireinfo,Dynamic URL SEO,Unknown,"CVE-2025-23984, CVE-2025-23985"
Braulio Aquino García,Send to Twitter,Unknown,CVE-2025-23691
Brave,Desktop Browser,1.74.48,CVE-2025-23086
Brian Messenlehner of WebDevStudios,WP-Announcements,Unknown,CVE-2025-23489
Brian Novotny – Creative Software Design Solutions,Marquee Style RSS News Ticker,Unknown,CVE-2025-23424
Broadcom,Symantec Privileged Access Management,3.4.6,"CVE-2025-24500, CVE-2025-24501, CVE-2025-24502, CVE-2025-24503, CVE-2025-24504, CVE-2025-24505, CVE-2025-24506, CVE-2025-24507"
Bruce Wampler,Weaver Themes Shortcode Compatibility,Unknown,CVE-2025-22267
Bryan Shanaver @ fiftyandfifty.org,CloudFlare(R) Cache Purge,Unknown,CVE-2025-22332
Burria,Laika Pedigree Tree,Unknown,CVE-2025-22593
Burtay Arat,Dezdy,Unknown,CVE-2025-23590
Bytephp,Arcade Ready,Unknown,CVE-2025-22581
CBB Team,Content Blocks Builder,Unknown,CVE-2025-22810
CHR Designer,Responsive jQuery Slider,Unknown,CVE-2025-22798
CP Plus,CP-XR-DE21-S Router,DE21_S_india_hx806_1.057.043_0023,CVE-2025-0479
CRM Perks,"WP Dynamics CRM for Contact Form 7, WPForms, Elementor, Formidable and Ninja Forms",Unknown,CVE-2025-24708
CS : ABS-Hosting.nl / Walchum.net,Free MailClient FMC,Unknown,CVE-2025-23703
Cacti,cacti,< 1.2.29,CVE-2025-24368
Cacti,cacti,<= 1.2.28,CVE-2025-24367
Cacti,cacti,<= 1.2.8,CVE-2025-22604
Callum Richards,Admin Menu Organizer,Unknown,CVE-2025-23686
Camoo Sarl,CAMOO SMS,Unknown,CVE-2025-23607
CampCodes,Computer Laboratory Management System,1.0,"CVE-2025-0341, CVE-2025-0342"
CampCodes,DepEd Equipment Inventory System,1.0,CVE-2025-0348
CampCodes,School Management Software,1.0,"CVE-2025-0560, CVE-2025-0581, CVE-2025-0625, CVE-2025-0710, CVE-2025-0849"
Campcodes,Project Management System,1.0,CVE-2025-0213
Campcodes,School Faculty Scheduling System,1.0,"CVE-2025-0210, CVE-2025-0211"
Campcodes,School Management Software,1.0,CVE-2025-0559
Campcodes,Student Grading System,1.0,CVE-2025-0212
Capa,Wp-Scribd-List,Unknown,CVE-2025-23436
CarbonPHP,carbon,< 2.72.6,CVE-2025-22145
Cesanta,Frozen,0,"CVE-2025-0695, CVE-2025-0696"
"Chandrika Guntur, Morgan Kay",Chamber Dashboard Business Directory,Unknown,CVE-2025-23917
ChatBot for WordPress - WPBot,Conversational Forms for ChatBot,Unknown,CVE-2025-22813
CheGevara,Tags to Keywords,Unknown,CVE-2025-22685
Chimpstudio,WP Directorybox Manager,*,CVE-2025-0316
Chris Roberts,Annie,Unknown,"CVE-2025-23884, CVE-2025-23886"
"Christian Leuenberg, L.net Web Solutions",Restrict Anonymous Access,Unknown,CVE-2025-24610
Cianet,ONU GW24AC,20250127,CVE-2025-0869
Cisco,Cisco BroadWorks,22.0,CVE-2025-20165
Cisco,Cisco Common Services Platform Collector Software,2.11,"CVE-2025-20167, CVE-2025-20168"
Cisco,Cisco Common Services Platform Collector Software,30.1.1-0,CVE-2025-20166
Cisco,Cisco Crosswork Network Change Automation,3.0.0,CVE-2025-20123
Cisco,Cisco Identity Services Engine Software,3.0.0,"CVE-2025-20124, CVE-2025-20125, CVE-2025-20204, CVE-2025-20205"
Cisco,Cisco Meeting Management,CMM3.4.0,CVE-2025-20156
Cisco,Cisco Secure Email,14.0.0-698,"CVE-2025-20180, CVE-2025-20184, CVE-2025-20185, CVE-2025-20207"
Cisco,Cisco Secure Endpoint,7.0.5,CVE-2025-20128
Cisco,Cisco Secure Web Appliance,11.8.0-453,CVE-2025-20183
Cisco,Cisco TelePresence Video Communication Server (VCS) Expressway,X8.11.2,CVE-2025-20179
Cisco,Cisco ThousandEyes Endpoint Agent,1.200,CVE-2025-20126
Cisco,IOS,12.2(33)CX,CVE-2025-20171
Cisco,IOS,12.2(33)SRE1,CVE-2025-20172
Cisco,IOS,12.2(4)B,"CVE-2025-20169, CVE-2025-20170"
Cisco,IOS,12.2(53)SE1,"CVE-2025-20173, CVE-2025-20175"
Cisco,IOS,15.0(2)EY,CVE-2025-20176
Cisco,IOS,15.4(1)T,CVE-2025-20174
Clodeo,Shipdeo,Unknown,CVE-2025-23457
Cloud Foundry,Cloud Foundry UAA,77.20.X,CVE-2025-22216
Cloudflare,WARP,0,CVE-2025-0651
Code Themes,Digi Store,Unknown,CVE-2025-22354
Code for Recovery,12 Step Meeting List,Unknown,"CVE-2025-24580, CVE-2025-24582"
CodeAstrology Team,Product Table for WooCommerce,Unknown,CVE-2025-22307
CodeBard,CodeBard Help Desk,Unknown,"CVE-2025-22757, CVE-2025-22760"
CodePeople,Booking Calendar Contact Form,Unknown,CVE-2025-24723
CodePeople,Contact Form Email,Unknown,CVE-2025-24727
CodePeople,Form Builder CP,Unknown,CVE-2025-24672
CodePeople,Music Store,Unknown,CVE-2025-24626
CodeSolz,Better Find and Replace,Unknown,CVE-2025-24734
CodegearThemes,Designer,Unknown,CVE-2025-23987
"Codexpert, Inc",CoDesigner WooCommerce Builder for Elementor,Unknown,CVE-2025-22788
Codezips,Blood Bank Management System,1.0,CVE-2025-0232
Codezips,Gym Management System,1.0,"CVE-2025-0231, CVE-2025-0532, CVE-2025-0535, CVE-2025-0541, CVE-2025-0562, CVE-2025-0803, CVE-2025-0880, CVE-2025-0881"
Codezips,Project Management System,1.0,"CVE-2025-0233, CVE-2025-0336"
ComMotion,Course Booking System,Unknown,CVE-2025-22785
Common Ninja,Compare Ninja,Unknown,CVE-2025-23909
Contec Health,CMS8000 Patient Monitor,All versions,"CVE-2025-0626, CVE-2025-0683"
Contest Gallery,Contest Gallery,Unknown,CVE-2025-22693
Convoy,Media Category Library,Unknown,CVE-2025-22344
Cornea Alexandru,Category Custom Fields,Unknown,CVE-2025-23822
CrafterCMS,CrafterCMS,4.0.0,CVE-2025-0502
Creative Brahma,Multifox,Unknown,CVE-2025-22769
Crocoblock,JetElements,*,CVE-2025-0371
Crocoblock,JetEngine,*,CVE-2025-0369
CyberChimps,Responsive Blocks,Unknown,CVE-2025-22697
CyferShepard,Jellystat,< 1.1.3,CVE-2025-24960
Cynob IT Consultancy,WP Custom Post RSS Feed,Unknown,CVE-2025-25139
CyrilG,Fyrebox Quizzes,Unknown,CVE-2025-25125
D-Link,DHP-W310AV,1.04,CVE-2025-1104
D-Link,DIR-823X,240126,"CVE-2025-0492, CVE-2025-1103"
D-Link,DIR-878,1.03,CVE-2025-0481
DLX Plugins,Comment Edit Core – Simple Comment Editing,Unknown,CVE-2025-24703
DSmidgy,HTTP to HTTPS link changer by Eyga.net,Unknown,CVE-2025-23677
Damion Armentrout,Able Player,Unknown,CVE-2025-22577
Dan Cameron,Add RSS,Unknown,CVE-2025-23895
Daniel Powney,Hotspots Analytics,Unknown,CVE-2025-23848
Daniel Walmsley,VR Views,Unknown,CVE-2025-22820
Danillo Nunes,Login-box,Unknown,CVE-2025-25149
Data443,Posts Footer Manager,Unknown,CVE-2025-22734
"Dave Konopka, Martin Scharm",UpDownUpDown,Unknown,CVE-2025-23572
David F. Carr,RSVPMaker Volunteer Roles,Unknown,CVE-2025-23531
David F. Carr,RSVPMarker,Unknown,CVE-2025-24600
David Hamilton,OrangeBox,Unknown,CVE-2025-23800
David Marcucci,Password Protect Plugin for WordPress,Unknown,CVE-2025-23435
David de Boer,Paytium,Unknown,CVE-2025-24552
DeannaS,Embed RSS,Unknown,CVE-2025-25081
DearHive,Social Media Share Buttons | MashShare,Unknown,CVE-2025-22319
Deepin,dde-api-proxy,0,CVE-2025-23222
Dell,Avamar,19.4,CVE-2025-21117
Dell,Dell Display Manager,Unknown,"CVE-2025-21101, CVE-2025-22394"
Dell,Dell Update Package (DUP) Framework,Unknown,CVE-2025-22395
Dell,Dell VxRail HCI,7.0.000,CVE-2025-21102
Dell,Dell VxRail HCI,8.0.000,CVE-2025-21111
Dell,Enterprise SONiC OS,Unknown,CVE-2025-23374
Dell,NetWorker,19.11,CVE-2025-21107
Dell,PowerProtect DD,7.7.1.0,CVE-2025-22475
Dell,Update Manager Plugin,1.5.0,CVE-2025-22402
Delta Electronics,CNCSoft-G2,0,CVE-2025-22880
Dennis Koot,wpSOL,Unknown,CVE-2025-22343
Detlef Stöver,WPEX Replace DB Urls,Unknown,CVE-2025-22586
DigiTimber,DigiTimber cPanel Integration,Unknown,CVE-2025-22690
Digital Zoom Studio,Admin debug wordpress – enable debug,Unknown,CVE-2025-22503
Digital Zoom Studio,Demo User DZS,Unknown,CVE-2025-23581
Dimitar Atanasov,My Favorite Car,Unknown,CVE-2025-23636
DivEngine,Gallery: Hybrid – Advanced Visual Gallery,Unknown,CVE-2025-23951
Dominic Fallows,DF Draggable,Unknown,CVE-2025-23708
Don Kukral,Email on Publish,Unknown,CVE-2025-23673
Dovy Paukstys,Redux Converter,Unknown,CVE-2025-23427
Dreamvention,Live AJAX Search Free,1.0.0,CVE-2025-1116
DualCube,MooWoodle,Unknown,CVE-2025-24556
DumbWareio,DumbDrop,< 4ff8469d,CVE-2025-24971
DumbWareio,DumbDrop,= sha256:bd110df9fcab4fb9c384c245345b7dd34e52d2cabc3cda9bfbbbc5ffb0606d97,CVE-2025-24891
Dylan James,Zephyr Admin Theme,Unknown,CVE-2025-22814
E4J s.r.l.,VikAppointments Services Booking Calendar,Unknown,CVE-2025-22719
ELEXtensions,"ELEX WooCommerce Advanced Bulk Edit Products, Prices & Attributes",Unknown,CVE-2025-22352
ESAFENET,CDG,V5,"CVE-2025-0785, CVE-2025-0786, CVE-2025-0787, CVE-2025-0788, CVE-2025-0789, CVE-2025-0790, CVE-2025-0791, CVE-2025-0792, CVE-2025-0793, CVE-2025-0794, CVE-2025-0795"
Ederson Peka,Media Downloader,Unknown,CVE-2025-24684
Ederson Peka,Unlimited Page Sidebars,Unknown,CVE-2025-22688
EdesaC,Extra Options – Favicons,Unknown,CVE-2025-23508
EditionGuard Dev Team,EditionGuard for WooCommerce – eBook Sales with DRM,Unknown,CVE-2025-23452
Eiji ‘Sabaoh’ Yamada,Rollover Tab,Unknown,CVE-2025-23863
Elber,Signum DVB-S/S2 IRD,0,"CVE-2025-0674, CVE-2025-0675"
ElbowRobo,Read More Copy Link,Unknown,CVE-2025-25148
ElementInvader,ElementInvader Addons for Elementor,Unknown,"CVE-2025-22786, CVE-2025-24578, CVE-2025-24618, CVE-2025-24729"
Elevio,Elevio,Unknown,CVE-2025-22328
Eliott Robson,Mass Messaging in BuddyPress,Unknown,CVE-2025-23798
"Elke Hinze, Plumeria Web Design",Web Testimonials,Unknown,CVE-2025-23560
Ella van Durpe,Slides & Presentations,Unknown,"CVE-2025-22511, CVE-2025-22534, CVE-2025-23919"
EmbedAI,EmbedAI,0,"CVE-2025-0739, CVE-2025-0740, CVE-2025-0741, CVE-2025-0742, CVE-2025-0743, CVE-2025-0744, CVE-2025-0745, CVE-2025-0746, CVE-2025-0747"
EmbedPress,Document Block – Upload & Embed Docs,Unknown,CVE-2025-22696
Emili Castells,DK White Label,Unknown,CVE-2025-24541
Emili Castells,DPortfolio,Unknown,CVE-2025-24534
Enalean,tuleap,< 16.3.99.1736242932,CVE-2025-22129
Enalean,tuleap,< 16.3.99.1737562605,CVE-2025-24029
Enguerran Weiss,Related Post Shortcode,Unknown,CVE-2025-22276
Eniture Technology,LTL Freight Quotes – Worldwide Express Edition,Unknown,CVE-2025-24664
Eniture Technology,Small Package Quotes – Unishippers Edition,Unknown,CVE-2025-24665
Eniture Technology,Small Package Quotes – Worldwide Express Edition,Unknown,CVE-2025-24667
Eniture Technology,Standard Box Sizes – for WooCommerce,Unknown,CVE-2025-22318
Epic Games,Launcher,17.2.0,CVE-2025-0567
Epsiloncool,WP Fast Total Search,Unknown,"CVE-2025-24571, CVE-2025-24572"
Eric Franklin,Video Embed Optimizer,Unknown,CVE-2025-22554
Eric McNiece,EMC2 Alert Boxes,Unknown,CVE-2025-22365
Estatebud,Estatebud – Properties & Listings,Unknown,CVE-2025-23994
Etruel Developments LLC,WP Delete Post Copies,Unknown,CVE-2025-22541
Eugen Bobrowski,Debug Tool,Unknown,CVE-2025-23684
Eugenio Petullà,imaGenius,Unknown,CVE-2025-23772
Eugeny,tabby,< 1.0.217,CVE-2025-22136
ExactMetrics,ExactMetrics,Unknown,CVE-2025-24750
Explara,Explara Membership,Unknown,CVE-2025-23583
Eyouth { rob.panes },Charity-thermometer,Unknown,CVE-2025-23860
F.A.Q Builder Team,FAQ Builder AYS,Unknown,CVE-2025-24722
F5,BIG-IP,17.1.0,"CVE-2025-20029, CVE-2025-20045, CVE-2025-20058, CVE-2025-21087, CVE-2025-21091, CVE-2025-22846, CVE-2025-22891, CVE-2025-23412, CVE-2025-23415, CVE-2025-24312, CVE-2025-24320, CVE-2025-24326, CVE-2025-24497"
F5,BIG-IP,17.1.1,CVE-2025-23239
F5,BIG-IP Next Central Manager,20.1.0,"CVE-2025-23413, CVE-2025-24319"
F5,NGINX Open Source,1.11.4,CVE-2025-23419
FAKTOR VIER,F4 Post Tree,Unknown,CVE-2025-22499
FFmpeg,FFmpeg,7.1,CVE-2025-0518
Faaiq,Pretty Url,Unknown,"CVE-2025-22563, CVE-2025-22564"
"Faaiq Ahmed, Technial Architect,faaiqsj@gmail.com",Simple Custom post type custom field,Unknown,CVE-2025-23500
Fabio Savina,WP OpenSearch,Unknown,CVE-2025-23671
Facile Sistemas,Cloud Apps,20250107,CVE-2025-0578
Faizaan Gagan,Course Migration for LearnDash,1.0.2,CVE-2025-22346
FameThemes,OnePress,Unknown,CVE-2025-22643
FancyWP,Starter Templates by FancyWP,Unknown,CVE-2025-25106
Fanli2012,native-php-cms,1.0,"CVE-2025-0482, CVE-2025-0483, CVE-2025-0484, CVE-2025-0485, CVE-2025-0486, CVE-2025-0487, CVE-2025-0488, CVE-2025-0489, CVE-2025-0490, CVE-2025-0491"
Farhan Noor,ApplyOnline – Application Form Builder and Manager,Unknown,CVE-2025-22721
FastCGI,fcgi,2.0.0,CVE-2025-23016
Fatcat Apps,Landing Page Cat,Unknown,CVE-2025-24576
Fedora Repository,Fedora Repository,0,"CVE-2025-23011, CVE-2025-23012"
Felipe Peixoto,Powerful Auto Chat,Unknown,CVE-2025-22292
FilaThemes,Education LMS,Unknown,CVE-2025-22334
FlickDevs,News Ticker Widget for Elementor,Unknown,CVE-2025-22812
FlightGear,SimGear,0,CVE-2025-0781
FluentSMTP & WPManageNinja Team,FluentSMTP,Unknown,CVE-2025-24739
Foliovision,FV Thoughtful Comments,Unknown,CVE-2025-24613
Frank Koenen,ldap_login_password_and_role_manager,Unknown,CVE-2025-22548
FreeBSD,FreeBSD,14.2-RELEASE,"CVE-2025-0373, CVE-2025-0374, CVE-2025-0662"
FreeType,FreeType,2.8.1,CVE-2025-23022
G DATA CyberDefense AG,G DATA Management Server,0,CVE-2025-0542
G DATA CyberDefense AG,G DATA Security Client,0,CVE-2025-0543
G5Theme,Essential Real Estate,Unknown,CVE-2025-24698
GNU,Binutils,2.0,CVE-2025-0840
GREYS,Korea for WooCommerce,Unknown,CVE-2025-24639
GSheetConnector,CF7 Google Sheets Connector,Unknown,CVE-2025-22686
GSheetConnector,GSheetConnector for Forminator Forms,Unknown,CVE-2025-22752
GT3 Photo Gallery,Photo Gallery - GT3 Image Gallery & Gutenberg Block Gallery,Unknown,CVE-2025-24707
"Gagan Sandhu , Enej Bajgoric , CTLT DEV, UBC",People Lists,Unknown,CVE-2025-24691
Garrett Grimm,Simple Select All Text Box,Unknown,CVE-2025-25079
General Incorporated Association OCF,SXF Common Library,all versions,CVE-2025-24336
Genkisan,Genki Announcement,Unknown,CVE-2025-23900
Get Bowtied,Product Blocks for WooCommerce,Unknown,CVE-2025-22674
GitHub,Enterprise Server,3.12.0,CVE-2025-23369
GitLab,GitLab,15.0,CVE-2025-0290
GitLab,GitLab,17.2,CVE-2025-0314
GitLab,GitLab,17.4,CVE-2025-0194
GitLab,GitLab,7.14.1,CVE-2025-1072
GitoxideLabs,gitoxide,< 0.17.0,CVE-2025-22620
GiveWP,GiveWP,Unknown,CVE-2025-22777
Go standard library,crypto/internal/nistec,0,CVE-2025-22866
Go standard library,crypto/x509,1.24.0-0,CVE-2025-22865
Go toolchain,cmd/go,1.24.0-rc.2,CVE-2025-22867
GoDaddy,CoBlocks,Unknown,CVE-2025-24751
Gold Plugins,Easy FAQs,Unknown,CVE-2025-23795
Goldstar,Goldstar,Unknown,CVE-2025-23962
Google,Chrome,131.0.6778.264,CVE-2025-0291
Google,Chrome,132.0.6834.110,"CVE-2025-0611, CVE-2025-0612"
Google,Chrome,132.0.6834.159,CVE-2025-0762
Google,Chrome,132.0.6834.83,"CVE-2025-0434, CVE-2025-0435, CVE-2025-0436, CVE-2025-0437, CVE-2025-0438, CVE-2025-0439, CVE-2025-0440, CVE-2025-0441, CVE-2025-0442, CVE-2025-0443, CVE-2025-0446, CVE-2025-0447, CVE-2025-0448"
Google,Chrome,133.0.6943.53,"CVE-2025-0444, CVE-2025-0445, CVE-2025-0451"
Google Cloud,Application Integration,0,CVE-2025-0982
Gordon French,Comment-Emailer,Unknown,CVE-2025-23627
Gradle,Enterprise,2020.4,CVE-2025-24858
Gravity Master,Custom Field For WP Job Manager,Unknown,CVE-2025-22294
Gravity Master,PDF Catalog Woocommerce,Unknown,CVE-2025-22809
Greg Whitehead,Norse Rune Oracle Plugin,Unknown,CVE-2025-22556
Guangzhou Huayi Intelligent Technology,Jeewms,20241229,"CVE-2025-0390, CVE-2025-0391, CVE-2025-0392"
Gutentor,Gutentor,Unknown,CVE-2025-22293
HL7,fhir-ig-publisher,< 1.8.9,CVE-2025-24363
HMS Networks,Ewon Flexy 202,All,CVE-2025-0432
HP Inc.,Certain HP LaserJet Pro Printers,See HP Security Bulletin reference for affected versions.,CVE-2025-1004
